threshold,accuracy,macro_f1,weighted_f1,readmitted_precision,readmitted_recall,readmitted_f1
0.48,0.6478218146085817,0.6440614732756027,0.6469206748117684,0.6246246246246246,0.5912450255827174,0.6074766355140186
0.49,0.649721585325909,0.6440432946547796,0.6475568842661164,0.6340263450245993,0.5677942012507107,0.5990852515558222
0.47,0.6462495905666558,0.6440314343679313,0.6462275010443448,0.6164578587699316,0.6154064809550881,0.615931721194879
0.46,0.6448738945299706,0.6437431447414093,0.6453117313667042,0.609580675804044,0.6384309266628766,0.6236723359944464
0.45,0.6415984277759581,0.641201067041133,0.6421342390030351,0.6013469757803394,0.6598919840818647,0.6292606898421088
0.5,0.647625286603341,0.6396424608579332,0.6438341470878062,0.6390800738626825,0.5410744741330301,0.5860078503809744
0.44,0.6389125450376679,0.6388920504534199,0.639104659488271,0.5939117574562485,0.6849061967026719,0.6361716171617162
0.43,0.6361611529642974,0.6360763661173194,0.6356422429051101,0.5875679508390451,0.7066515065378056,0.641631178216544
0.51,0.6459875532263347,0.6353687461931044,0.6402317929457507,0.6450924608819346,0.5156338828880046,0.5731437598736177
0.42,0.6351130036030135,0.6345652424911294,0.633459525052081,0.5831065759637188,0.730955088118249,0.6487134207870837
0.52,0.6446773665247297,0.6312873260008116,0.6367786695364027,0.6515037593984963,0.49260943718021605,0.56102298478472
0.41,0.6320995741893219,0.6306295614717241,0.6288084553740144,0.5772410791993038,0.7541216600341103,0.6539314764604387
0.53,0.646053062561415,0.6293770433052681,0.635521110931143,0.663594470046083,0.4707220011370097,0.5507607882264904
0.4,0.6275794300687848,0.6248671101690044,0.6223741998142754,0.5709037472446731,0.7730244457077885,0.6567650787900743
0.54,0.6433671798231247,0.6235665592562645,0.6303138144222926,0.6683587140439933,0.4491188175099488,0.5372322339340361
0.55,0.6423190304618408,0.6185169312648038,0.6259640606490328,0.6784420289855072,0.42581011938601476,0.5232273838630807
0.39,0.6216835899115624,0.6172877143966007,0.614082164586485,0.5639128231120122,0.7906480955088119,0.6583042423525235
0.56,0.6393711103832296,0.611743682601144,0.6198378676070448,0.6841472215540053,0.40420693575895394,0.5081747520771911
0.38,0.6170324271208647,0.6104991951174767,0.606556784505417,0.5582990397805213,0.8098351335986356,0.6609442060085837
0.57,0.6369472649852604,0.6048115505420392,0.6136187886148081,0.6927244582043344,0.38160886867538374,0.49211876832844575
0.37,0.6116606616442843,0.6027278939308222,0.5980722399849242,0.5526716105723521,0.826179647527004,0.662299191067563
0.58,0.6358336062888962,0.5999121380956377,0.6092812486235252,0.7020519835841313,0.36469584991472426,0.4800299317182677
0.36,0.604716672125778,0.5928786654529715,0.5874531018876016,0.546251846381093,0.8409607731665719,0.6623013207969555
0.59,0.6317720275139207,0.59099359078631,0.6010866768892228,0.7075388677031388,0.3428084138715179,0.46184777405457156
0.6,0.6298067474615132,0.5845145636620992,0.5952355111368415,0.7171527124490436,0.3250426378624218,0.44733496332518335
0.35,0.59737962659679,0.582163877633215,0.5759323676731924,0.5399389696643332,0.855031267765776,0.6618989987897459
0.61,0.6239109073042909,0.5726690250782056,0.584233831263548,0.7200135915732246,0.3011654349061967,0.42469185289107125
0.34,0.5906321650835245,0.5713450201026504,0.5642389163465718,0.5343158629109619,0.8708072768618533,0.6622709830838243
0.62,0.621552571241402,0.5651887240306719,0.5774234528739035,0.730332967435053,0.28368391131324616,0.4086395741631692
0.33,0.5845397969210613,0.5607714898534111,0.552786248982753,0.5294567062818336,0.8864411597498578,0.6629464285714286
0.63,0.6178185391418277,0.5557709958238807,0.56874605615312,0.7381141045958796,0.26478112563956796,0.3897489539748954
0.32,0.5770062233868326,0.5490307435790469,0.5402525354226323,0.5240628376693541,0.8961057418988061,0.661352074264436
0.64,0.6146085817228956,0.5462759249523039,0.5600370423606962,0.7501084598698482,0.24573621375781693,0.37019591050208756
0.31,0.5694071405175237,0.5362101191197687,0.5265127521933431,0.5188012669536263,0.9079022171688459,0.6602925215773425
0.65,0.6105470029479201,0.5361338037168404,0.5506537491997777,0.757919621749409,0.2278283115406481,0.3503442246748989
0.66,0.6064199148378644,0.5260205057880494,0.5412768275625729,0.7646755921730175,0.2110574189880614,0.3308086433504121
0.3,0.5620700949885359,0.5231318842818641,0.5124823461404016,0.5139385275196569,0.9196986924388857,0.6593977683802924
0.67,0.6022273173927285,0.5156125949291677,0.5316205521559729,0.7717023675310034,0.19457077885162025,0.310783200908059
0.29,0.5555846708155913,0.5109638459405702,0.4994191389191215,0.5098130841121495,0.9303581580443434,0.6586838398068021
0.68,0.5977726826072716,0.5047066635518183,0.5214858324702338,0.7779156327543424,0.17822626492325186,0.290009250693802
0.28,0.549230265312807,0.49908054136240493,0.4866936633763118,0.5059346044873267,0.9390278567367822,0.6575765115700423
0.69,0.5924664264657714,0.49312123388363105,0.5106587915560924,0.7770224337185588,0.16245025582717454,0.26871987774773715
0.27,0.5420897477890599,0.48533890656094225,0.47198247460490667,0.5017295833959994,0.9482660602615123,0.6562407789908528
0.7,0.5887979037012774,0.4836693876930997,0.5018776222456195,0.7829977628635347,0.14923251847640706,0.25068640324698577
0.71,0.5854569276121847,0.4748746128028129,0.49370754664543687,0.7892156862745098,0.1372939169982945,0.23389830508474577
0.26,0.5349492302653128,0.47109476386659976,0.4567323244975076,0.4976723564619818,0.9572200113700966,0.6548689775876319
0.72,0.5811333114968883,0.46454491863579056,0.4840717967325601,0.7902350813743219,0.12421830585559977,0.21468926553672316
0.25,0.5280707500818866,0.45769604389013846,0.442428354403549,0.4938811188811189,0.9636156907333713,0.6530533615873627
